input,expected,f2_threshold,ned_threshold
我們的家鄉友一各美麗地湖泊，風景如畫。,我們的家鄉有一個美麗的湖泊，風景如畫。,0.8,0.1
冥天的天氣預報說會下雨，計得帶雨傘初門。,明天的天氣預報說會下雨，記得帶雨傘出門。,0.8,0.1
這部電影的劇情狠吸引人，讓我們兜看的如癡如醉。,這部電影的劇情很吸引人，讓我們都看得如癡如醉。,0.8,0.1
我得母親是一個極奇善良獲有愛心的人。,我的母親是一個極其善良和有愛心的人。,0.8,0.1
間持學習是通往成功的必驚知路。,堅持學習是通往成功的必經之路。,0.8,0.1
我對未來充滿吸望和奇大。,我對未來充滿希望和期待。,0.8,0.1
這本舒的內容非常深入，值德我們深絲。,這本書的內容非常深入，值得我們深思。,0.8,0.1
南得數學題我梅有噠出來，感到非常遺憾。,那道數學題我沒有答出來，感到非常遺憾。,0.8,0.1
這頓晚餐讓我們帶飽口福，每一道菜嘟美味坷口。,這頓晚餐讓我們大飽口福，每一道菜都美味可口。,0.8,0.1
我們走在公園的小路尚，享受助活煦的陽光。,我們走在公園的小路上，享受著和煦的陽光。,0.8,0.1
美術管的展覽吸引餎許多藝術愛郝者。,美術館的展覽吸引了許多藝術愛好者。,0.8,0.1
爸爸的故是總是充滿去味湖智慧。,爸爸的故事總是充滿趣味和智慧。,0.8,0.1
網路購物讓我們的生和變得更加坊胼。,網路購物讓我們的生活變得更加方便。,0.8,0.1
我每天都會閱讀心文，關注世解動態。,我每天都會閱讀新聞，關注世界動態。,0.8,0.1
柘個手奇的設計讀特，功能齊全。,這個手機的設計獨特，功能齊全。,0.8,0.1
我的最愛是巧克力冰奇淋，每次吃都教得快越無比。,我的最愛是巧克力冰淇淋，每次吃都覺得快樂無比。,0.8,0.1
運侗讓我們寶持健康的深心。,運動讓我們保持健康的身心。,0.8,0.1
音樂能夠撫慰人們疲被嫡新靈。,音樂能夠撫慰人們疲憊的心靈。,0.8,0.1
他的效話讓我們都稔部住大笑。,他的笑話讓我們都忍不住大笑。,0.8,0.1
這道料理的為道絕佳，口敢絲滑，讓人回味吳窮。,這道料理的味道絕佳，口感絲滑，讓人回味無窮。,0.8,0.1
我們的城市夜景美力，燈光儒繁星典點。,我們的城市夜景美麗，燈光如繁星點點。,0.8,0.1
讓我們貢同圍保護環境做出弩力。,讓我們共同為保護環境做出努力。,0.8,0.1
我們映垓珍惜美一次旅行的經歷和見聞。,我們應該珍惜每一次旅行的經歷和見聞。,0.8,0.1
我希忘每一天都充蟎歡笑和屣悅。,我希望每一天都充滿歡笑和喜悅。,0.8,0.1
每一個新的窕戰都是我城長的機快。,每一個新的挑戰都是我成長的機會。,0.8,0.1
大海的好渺讓我感到任類的渺曉。,大海的浩渺讓我感到人類的渺小。,0.8,0.1
讀書世獲曲知智的最好方式。,讀書是獲取知識的最好方式。,0.8,0.1
我希妄我們帝友誼漲存。,我希望我們的友誼長存。,0.8,0.1
艱難的食候，我們需要堅任不拔的毅麗。,艱難的時候，我們需要堅韌不拔的毅力。,0.8,0.1
我們衣起扒山，欣賞那覺美的日出。,我們一起爬山，欣賞那絕美的日出。,0.8,0.1
我兌烹任有著無瓊的熱愛。,我對烹飪有著無窮的熱愛。,0.8,0.1
保護動物就是保互我們的的求。,保護動物就是保護我們的地球。,0.8,0.1
聲活充滿奇蹟，只吁要我們佣心去發現。,生活充滿奇蹟，只需要我們用心去發現。,0.8,0.1
美食不儘能滿足口腹之語，也是一中文化的體現。,美食不僅能滿足口腹之欲，也是一種文化的體現。,0.8,0.1
大自然的神其讓我們感到驚其不以。,大自然的神奇讓我們感到驚奇不已。,0.8,0.1
崁見採虹總慧讓人感到心情愉快。,看見彩虹總會讓人感到心情愉快。,0.8,0.1
每一伺旅行都是一次新的探所和帽險。,每一次旅行都是一次新的探索和冒險。,0.8,0.1
我們應該樽重每一個人的拆異和掇元性。,我們應該尊重每一個人的差異和多元性。,0.8,0.1
語言是交留的橋樑，野是文化的在體。,語言是交流的橋樑，也是文化的載體。,0.8,0.1
優秀的人總是對字己有著更皋的么求。,優秀的人總是對自己有著更高的要求。,0.8,0.1
我們總能叢失敗中學習到崇要的交訓。,我們總能從失敗中學習到重要的教訓。,0.8,0.1
儉單的生活方式往往能帶來更多的性幅。,簡單的生活方式往往能帶來更多的幸福。,0.8,0.1
隨著科計的進不，我們的生活也日益變利。,隨著科技的進步，我們的生活也日益便利。,0.8,0.1
而童的笑聲是世界上醉每的音樂。,兒童的笑聲是世界上最美的音樂。,0.8,0.1
我們要感謝辛勤工作的農民，味我們題供糧時。,我們要感謝辛勤工作的農民，為我們提供糧食。,0.8,0.1
每一次娣努力都不會白吠，一妾都值得。,每一次的努力都不會白費，一切都值得。,0.8,0.1
這座城市的聞化氛圍讓我卓彌。,這座城市的文化氛圍讓我著迷。,0.8,0.1
我們的老失總是已身作則，教導我們座人的道理。,我們的老師總是以身作則，教導我們做人的道理。,0.8,0.1
音樂會結樹後，關中給予了熱烈的掌聲。,音樂會結束後，觀眾給予了熱烈的掌聲。,0.8,0.1
我們嬰賅保持對生活的熱愛和熱擎。,我們應該保持對生活的熱愛和熱情。,0.8,0.1
老爸的蔡總是吶麼美味，讓我洄味無窮。,老爸的菜總是那麼美味，讓我回味無窮。,0.8,0.1
看見你的笑容，我的是界都量瞭。,看見你的笑容，我的世界都亮了。,0.8,0.1
每一畚好書都能開啟一山通網新世界的門。,每一本好書都能開啟一扇通往新世界的門。,0.8,0.1
教育不僅僅是傳受知識，更是裴養品嗝。,教育不僅僅是傳授知識，更是培養品格。,0.8,0.1
這杯嘎啡的香氣讓人無法底黨。,這杯咖啡的香氣讓人無法抵擋。,0.8,0.1
隨著下天的崍臨，水果也變得越來樂豐富。,隨著夏天的來臨，水果也變得越來越豐富。,0.8,0.1
這首歌的旋綠身身地打動了我。,這首歌的旋律深深地打動了我。,0.8,0.1
外公的顧事總是娜麼生凍有趣。,外公的故事總是那麼生動有趣。,0.8,0.1
這個城是的歷史古佬而深候。,這個城市的歷史古老而深厚。,0.8,0.1
這奮工作需藥耐心和戲心。,這份工作需要耐心和細心。,0.8,0.1
學媳外愈是一冢挑戰，也是一種享受。,學習外語是一種挑戰，也是一種享受。,0.8,0.1
我喜貛看夕陽，那橙紅嗇的光忙像極了希望。,我喜歡看夕陽，那橙紅色的光芒像極了希望。,0.8,0.1
